Date,Race,Location,Distance,Course
01/01/2010,3,Sha Tin, 1400M ,Class 4 
01/01/2010,4,Sha Tin, 1200M ,Class 3 
01/01/2010,5,Sha Tin, 1400M ,Class 4 
01/01/2010,6,Sha Tin, 1600M ,Class 4 
01/01/2010,7,Sha Tin, 1200M ,Class 2 
01/01/2010,8,Sha Tin, 1400M ,Class 3 
01/01/2010,10,Sha Tin, 1600M ,Class 3 
01/01/2010,11,Sha Tin, 1600M ,Class 1 
06/01/2010,1,Happy Valley, 1200M ,Class 5 
06/01/2010,2,Happy Valley, 1000M ,Class 4 
06/01/2010,3,Happy Valley, 1200M ,Class 4 
06/01/2010,4,Happy Valley, 1650M ,Class 4 
06/01/2010,5,Happy Valley, 1800M ,Class 4 
06/01/2010,6,Happy Valley, 1650M ,Class 3 
06/01/2010,7,Happy Valley, 1200M ,Class 3 
06/01/2010,8,Happy Valley, 1200M ,Class 3 
10/01/2010,1,Sha Tin, 1800M ,Class 5 
10/01/2010,2,Sha Tin, 1000M ,Class 4 
10/01/2010,3,Sha Tin, 1200M ,Class 3 
10/01/2010,4,Sha Tin, 1650M ,Class 4 
10/01/2010,5,Sha Tin, 1400M ,Class 4 
10/01/2010,6,Sha Tin, 1800M ,Class 3 
10/01/2010,8,Sha Tin, 1200M ,Class 2 
10/01/2010,9,Sha Tin, 1400M ,Class 2 
10/01/2010,10,Sha Tin, 1400M ,Class 3 
13/01/2010,1,Happy Valley, 1650M ,Class 5 
13/01/2010,2,Happy Valley, 1650M ,Class 4 
13/01/2010,3,Happy Valley, 1200M ,Class 4 
13/01/2010,4,Happy Valley, 1650M ,Class 4 
13/01/2010,5,Happy Valley, 1650M ,Class 3 
13/01/2010,6,Happy Valley, 1800M ,Class 1 
13/01/2010,7,Happy Valley, 1000M ,Class 3 
13/01/2010,8,Happy Valley, 1650M ,Class 3 
16/01/2010,1,Sha Tin, 1200M ,Class 5 
16/01/2010,2,Sha Tin, 1200M ,Class 4 
16/01/2010,3,Sha Tin, 1000M ,Class 2 
16/01/2010,4,Sha Tin, 1800M ,Class 4 
16/01/2010,5,Sha Tin, 1400M ,Class 4 
16/01/2010,6,Sha Tin, 1200M ,Class 3 
16/01/2010,7,Sha Tin, 1000M ,Class 3 
16/01/2010,8,Sha Tin, 1600M ,Class 3 
16/01/2010,9,Sha Tin, 1800M ,Class 2 
16/01/2010,10,Sha Tin, 1400M ,Class 3 
20/01/2010,1,Happy Valley, 2200M ,Class 5 
20/01/2010,2,Happy Valley, 1200M ,Class 4 
20/01/2010,4,Happy Valley, 1650M ,Class 4 
20/01/2010,5,Happy Valley, 1200M ,Class 3 
20/01/2010,6,Happy Valley, 1650M ,Class 3 
20/01/2010,7,Happy Valley, 1800M ,Class 3 
20/01/2010,8,Happy Valley, 1200M ,Class 1 
24/01/2010,1,Sha Tin, 1600M ,Class 5 
24/01/2010,2,Sha Tin, 1200M ,Class 4 
24/01/2010,3,Sha Tin, 1000M ,Class 4 
24/01/2010,4,Sha Tin, 1400M ,Class 4 
24/01/2010,5,Sha Tin, 1600M ,Class 4 
24/01/2010,6,Sha Tin, 1200M ,Class 3 
24/01/2010,7,Sha Tin, 1400M ,Class 1 
24/01/2010,9,Sha Tin, 1400M ,Class 3 
24/01/2010,10,Sha Tin, 1400M ,Class 2 
27/01/2010,1,Happy Valley, 1650M ,Class 5 
27/01/2010,2,Happy Valley, 1200M ,Class 4 
27/01/2010,3,Happy Valley, 1650M ,Class 4 
27/01/2010,4,Happy Valley, 2200M ,Class 4 
27/01/2010,5,Happy Valley, 1200M ,Class 3 
27/01/2010,6,Happy Valley, 1650M ,Class 3 
27/01/2010,7,Happy Valley, 1000M ,Class 3 
27/01/2010,8,Happy Valley, 1650M ,Class 2 
31/01/2010,1,Sha Tin, 1200M ,Class 5 
31/01/2010,2,Sha Tin, 1200M ,Class 4 
31/01/2010,3,Sha Tin, 1600M ,Class 3 
31/01/2010,4,Sha Tin, 1200M ,Class 3 
31/01/2010,5,Sha Tin, 1400M ,Class 4 
31/01/2010,6,Sha Tin, 2000M ,Class 3 
31/01/2010,9,Sha Tin, 1600M ,Class 2 
31/01/2010,10,Sha Tin, 1200M ,Class 2 
03/02/2010,1,Happy Valley, 1000M ,Class 4 
03/02/2010,3,Happy Valley, 1200M ,Class 4 
03/02/2010,4,Happy Valley, 1650M ,Class 4 
03/02/2010,6,Happy Valley, 1200M ,Class 3 
03/02/2010,7,Happy Valley, 1650M ,Class 3 
03/02/2010,8,Happy Valley, 1650M ,Class 3 
07/02/2010,1,Sha Tin, 1000M ,Class 4 
07/02/2010,2,Sha Tin, 1400M ,Class 4 
07/02/2010,3,Sha Tin, 1000M ,Class 3 
07/02/2010,4,Sha Tin, 1650M ,Class 5 
07/02/2010,5,Sha Tin, 1800M ,Class 4 
07/02/2010,6,Sha Tin, 1200M ,Class 3 
07/02/2010,7,Sha Tin, 1400M ,Class 2 
07/02/2010,9,Sha Tin, 1650M ,Class 2 
07/02/2010,10,Sha Tin, 1400M ,Class 3 
10/02/2010,1,Happy Valley, 1200M ,Class 5 
10/02/2010,2,Happy Valley, 1200M ,Class 4 
10/02/2010,3,Happy Valley, 1200M ,Class 4 
10/02/2010,4,Happy Valley, 1650M ,Class 4 
10/02/2010,5,Happy Valley, 1650M ,Class 3 
10/02/2010,6,Happy Valley, 1800M ,Class 3 
10/02/2010,7,Happy Valley, 1200M ,Class 3 
10/02/2010,8,Happy Valley, 1000M ,Class 1 
16/02/2010,1,Sha Tin, 1400M ,Class 5 
16/02/2010,2,Sha Tin, 1200M ,Class 4 
16/02/2010,3,Sha Tin, 1600M ,Class 4 
16/02/2010,4,Sha Tin, 1200M ,Class 3 
16/02/2010,5,Sha Tin, 1400M ,Class 4 
16/02/2010,6,Sha Tin, 1400M ,Class 3 
16/02/2010,7,Sha Tin, 1600M ,Class 2 
16/02/2010,8,Sha Tin, 1400M ,Class 1 
16/02/2010,10,Sha Tin, 1200M ,Class 2 
16/02/2010,11,Sha Tin, 1600M ,Class 3 
21/02/2010,2,Sha Tin, 1600M ,Class 5 
21/02/2010,3,Sha Tin, 1200M ,Class 4 
21/02/2010,4,Sha Tin, 1200M ,Class 4 
21/02/2010,5,Sha Tin, 1400M ,Class 4 
21/02/2010,6,Sha Tin, 1650M ,Class 4 
21/02/2010,7,Sha Tin, 1800M ,Class 3 
21/02/2010,9,Sha Tin, 1200M ,Class 3 
21/02/2010,10,Sha Tin, 1400M ,Class 3 
21/02/2010,11,Sha Tin, 1400M ,Class 2 
24/02/2010,1,Happy Valley, 1650M ,Class 5 
24/02/2010,2,Happy Valley, 1200M ,Class 4 
24/02/2010,3,Happy Valley, 1800M ,Class 4 
24/02/2010,4,Happy Valley, 1000M ,Class 3 
24/02/2010,5,Happy Valley, 1650M ,Class 1 
24/02/2010,6,Happy Valley, 1200M ,Class 1 
24/02/2010,7,Happy Valley, 1650M ,Class 3 
24/02/2010,8,Happy Valley, 1200M ,Class 3 
28/02/2010,1,Sha Tin, 1800M ,Class 5 
28/02/2010,2,Sha Tin, 1000M ,Class 4 
28/02/2010,3,Sha Tin, 1200M ,Class 4 
28/02/2010,4,Sha Tin, 1200M ,Class 3 
28/02/2010,5,Sha Tin, 1400M ,Class 4 
28/02/2010,6,Sha Tin, 1600M ,Class 4 
28/02/2010,8,Sha Tin, 1800M ,Class 1 
28/02/2010,9,Sha Tin, 1400M ,Class 3 
28/02/2010,10,Sha Tin, 1600M ,Class 3 
03/03/2010,1,Happy Valley, 1000M ,Class 5 
03/03/2010,2,Happy Valley, 1000M ,Class 4 
03/03/2010,3,Happy Valley, 1200M ,Class 4 
03/03/2010,5,Happy Valley, 1650M ,Class 4 
03/03/2010,6,Happy Valley, 2200M ,Class 3 
03/03/2010,7,Happy Valley, 1200M ,Class 3 
03/03/2010,8,Happy Valley, 1650M ,Class 3 
06/03/2010,2,Sha Tin, 1200M ,Class 4 
06/03/2010,3,Sha Tin, 1400M ,Class 4 
06/03/2010,4,Sha Tin, 1000M ,Class 3 
06/03/2010,5,Sha Tin, 1800M ,Class 4 
06/03/2010,6,Sha Tin, 1650M ,Class 3 
06/03/2010,7,Sha Tin, 1400M ,Class 3 
06/03/2010,9,Sha Tin, 1200M ,Class 1 
06/03/2010,10,Sha Tin, 1400M ,Class 2 
10/03/2010,1,Happy Valley, 1650M ,Class 5 
10/03/2010,2,Happy Valley, 1000M ,Class 4 
10/03/2010,3,Happy Valley, 1200M ,Class 4 
10/03/2010,4,Happy Valley, 1000M ,Class 3 
10/03/2010,5,Happy Valley, 1800M ,Class 1 
10/03/2010,6,Happy Valley, 1650M ,Class 4 
10/03/2010,7,Happy Valley, 1200M ,Class 3 
10/03/2010,8,Happy Valley, 1650M ,Class 3 
14/03/2010,1,Sha Tin, 1200M ,Class 4 
14/03/2010,2,Sha Tin, 1200M ,Class 5 
14/03/2010,3,Sha Tin, 1200M ,Class 3 
14/03/2010,4,Sha Tin, 1400M ,Class 4 
14/03/2010,5,Sha Tin, 1600M ,Class 4 
14/03/2010,6,Sha Tin, 1600M ,Class 3 
14/03/2010,9,Sha Tin, 1600M ,Class 2 
14/03/2010,10,Sha Tin, 1400M ,Class 3 
17/03/2010,1,Happy Valley, 1800M ,Class 5 
17/03/2010,2,Happy Valley, 2200M ,Class 4 
17/03/2010,3,Happy Valley, 1650M ,Class 4 
17/03/2010,4,Happy Valley, 1200M ,Class 4 
17/03/2010,5,Happy Valley, 1650M ,Class 3 
17/03/2010,6,Happy Valley, 1200M ,Class 3 
17/03/2010,7,Happy Valley, 1650M ,Class 3 
17/03/2010,8,Happy Valley, 1200M ,Class 2 
21/03/2010,1,Sha Tin, 1000M ,Class 4 
21/03/2010,2,Sha Tin, 1600M ,Class 5 
21/03/2010,3,Sha Tin, 1200M ,Class 3 
21/03/2010,4,Sha Tin, 1200M ,Class 4 
21/03/2010,5,Sha Tin, 1400M ,Class 4 
21/03/2010,6,Sha Tin, 1400M ,Class 4 
21/03/2010,8,Sha Tin, 1200M ,Class 1 
21/03/2010,9,Sha Tin, 1800M ,Class 3 
21/03/2010,10,Sha Tin, 1400M ,Class 3 
24/03/2010,1,Sha Tin, 1200M ,Class 5 
24/03/2010,2,Sha Tin, 1200M ,Class 4 
24/03/2010,3,Sha Tin, 1800M ,Class 4 
